00c0;A;latin capital letter a with grave
00c1;A;latin capital letter a with acute
00c2;A;latin capital letter a with circumflex
00c3;A;latin capital letter a with tilde
00c4;A;latin capital letter a with diaeresis
00c5;A;latin capital letter a with ring above
00c6;AE;latin capital letter ae
00c7;C;latin capital letter c with cedilla
00c8;E;latin capital letter e with grave
00c9;E;latin capital letter e with acute
00ca;E;latin capital letter e with circumflex
00cb;E;latin capital letter e with diaeresis
00cc;I;latin capital letter i with grave
00cd;I;latin capital letter i with acute
00ce;I;latin capital letter i with circumflex
00cf;I;latin capital letter i with diaeresis
00d0;D;latin capital letter eth
00d1;N;latin capital letter n with tilde
00d2;O;latin capital letter o with grave
00d3;O;latin capital letter o with acute
00d4;O;latin capital letter o with circumflex
00d5;O;latin capital letter o with tilde
00d6;O;latin capital letter o with diaeresis
00d8;O;latin capital letter o with stroke
00d9;U;latin capital letter u with grave
00da;U;latin capital letter u with acute
00db;U;latin capital letter u with circumflex
00dc;U;latin capital letter u with diaeresis
00dd;Y;latin capital letter y with acute
00de;Th;latin capital letter thorn
00df;s;latin small letter sharp s
00e0;a;latin small letter a with grave
00e1;a;latin small letter a with acute
00e2;a;latin small letter a with circumflex
00e3;a;latin small letter a with tilde
00e4;a;latin small letter a with diaeresis
00e5;a;latin small letter a with ring above
00e6;ae;latin small letter ae
00e7;c;latin small letter c with cedilla
00e8;e;latin small letter e with grave
00e9;e;latin small letter e with acute
00ea;e;latin small letter e with circumflex
00eb;e;latin small letter e with diaeresis
00ec;i;latin small letter i with grave
00ed;i;latin small letter i with acute
00ee;i;latin small letter i with circumflex
00ef;i;latin small letter i with diaeresis
00f0;d;latin small letter eth
00f1;n;latin small letter n with tilde
00f2;o;latin small letter o with grave
00f3;o;latin small letter o with acute
00f4;o;latin small letter o with circumflex
00f5;o;latin small letter o with tilde
00f6;o;latin small letter o with diaeresis
00f8;o;latin small letter o with stroke
00f9;u;latin small letter u with grave
00fa;u;latin small letter u with acute
00fb;u;latin small letter u with circumflex
00fc;u;latin small letter u with diaeresis
00fd;y;latin small letter y with acute
00fe;th;latin small letter thorn
00ff;y;latin small letter y with diaeresis
0100;A;latin capital letter a with macron
0101;a;latin small letter a with macron
0102;A;latin capital letter a with breve
0103;a;latin small letter a with breve
0104;A;latin capital letter a with ogonek
0105;a;latin small letter a with ogonek
0106;C;latin capital letter c with acute
0107;c;latin small letter c with acute
0108;C;latin capital letter c with circumflex
